gc_used_mem_after	gc_total_avail	gc_defnew_end	gc_defnew_all	gc_paus_time	gc_start_occ	gc_end_occ	gc_main_paus_time	
206	1984
296	1984
313	1984
541	1984
577	1984
687	1984
863	1984
936	1984
965	1984
1409	1984
789	2112
965	1984
1155	1984
1374	1984
1399	1984
720	2112
904	1984
915	1984
1322	1984
568	2112
631	1984
886	1984
907	1984
957	1984
1089	1984
1180	1984
1215	1984
200	2112
504	1984
1016	1984
1278	1984
1426	2112
1630	2956
1665	2956
1855	2956
1978	2956
2047	2956
2080	2956
1464	3084
1841	3084
1907	3084
1918	3084
2030	3084
2164	3084
2202	3084
2379	3084
2396	3084
2522	3084
1864	3468
1926	3684
2133	3684
2180	3684
2215	3684
2312	3684
2329	3684
2503	3684
2554	3684
2839	3684
332	3812
775	3684
1286	3684
1461	3684
1594	3684
1793	3684
2124	3684
2227	3684
2244	3684
2366	3684
2402	3684
2500	3684
2983	3684
3144	3684
1649	3812
1828	3684
1917	3684
2145	3684
2480	3684
2519	3684
2541	3684
2639	3684
2798	3684
2902	3684
2297	3812
2349	4408
2438	4408
2557	4408
2594	4408
2770	4408
2788	4408
3165	4408
3575	4408
603	4536
1023	4408
1535	4408
2046	4408
2557	4408
3067	4408
3578	4408
3869	4408
3530	4536
3639	6464
3719	6464
3819	6464
3906	6464
3929	6464
4374	6464
4505	6464
4530	6464
4944	6464
5109	6464
5200	6464
5312	6464
5527	6464
5581	6464
5630	6464
5698	6464
5769	6464
4052	6592
4147	7332
4596	7332
5067	7332
5578	7332
5695	7332
6030	7332
6540	7332
5532	7588
6235	9992
6937	9992
7355	9992
7387	9992
7441	9992
7719	9992
7766	9992
8149	9992
8235	9992
8285	9992
8610	9992
8724	9992
9129	9992
9177	9992
9201	9992
9271	9992
6859	10760
7450	12332
7493	12332
7869	12332
7932	12332
7994	12332
8137	12332
8363	12332
8451	12332
8839	12332
8966	12332
9295	12332
9486	12332
9828	12332
10030	12332
10119	12332
10405	12332
10550	12332
10799	12332
10950	12332
5950	12588
6585	12332
6698	12332
6856	12332
6996	12332
7074	12332
7180	12332
7985	12332
8816	12332
9647	12332
10212	12332
10891	12332
1880	12588
2710	12332
3275	12332
3513	12332
3754	12332
3887	12332
4385	12332
4616	12332
4673	12332
4721	12332
4865	12332
5015	12332
5782	12332
6613	12332
7444	12332
8153	12332
8228	12332
8283	12332
8913	12332
8988	12332
9135	12332
9261	12332
9705	12332
9757	12332
10036	12332
10289	12332
10484	12332
10520	12332
11225	12332
6178	12588
6307	12332
6470	12332
6567	12332
6637	12332
7199	12332
7425	12332
7573	12332
7741	12332
7938	12332
8124	12332
8592	12332
9423	12332
9663	12332
9722	12332
10016	12332
10093	12332
10157	12332
10598	12332
10688	12332
11307	12332
11357	12332
11446	12332
6490	12716
6676	12332
6834	12332
7101	12332
7190	12332
7512	12332
8041	12332
8468	12332
9300	12332
10028	12332
10614	12332
11179	12332
1879	12936
2710	12332
3085	12332
3917	12332
4747	12332
5577	12332
6408	12332
7238	12332
8069	12332
8899	12332
9729	12332
10560	12332
11390	12332
11648	13100
12205	20952
12444	20952
12516	20952
12561	20952
13085	20952
14075	20952
14118	20952
15037	20952
15409	20952
15614	20952
15898	20952
16192	20952
16461	20952
16571	20952
16963	20952
17814	20952
18078	20952
18168	20952
18682	20952
18733	20952
19200	20952
11270	21848
11529	20952
11616	20952
12399	20952
12529	20952
12605	20952
13755	20952
15141	20952
16548	20952
17955	20952
19157	20952
19247	20952
19321	20952
15168	21080
15463	27204
16214	27204
16391	27204
16566	27204
17199	27204
17365	27204
17367	27204
18402	27204
18509	27204
18826	27204
18925	27204
19902	27204
21033	27204
21169	27204
21777	27204
22259	27204
22523	27204
22833	27204
23225	27204
24011	27204
24593	27204
24780	27204
25239	27204
25389	27204
12763	27844
14489	27204
15489	27204
15881	27204
16962	27204
17183	27204
17207	27204
17534	27204
17730	27204
17921	27204
17869	27204
18472	27204
19784	27204
20773	27204
21461	27204
21575	27204
21911	27204
22101	27204
23003	27204
24608	27204
24710	27204
25151	27204
25462	27204
17711	27332
18033	31824
18514	31824
18955	31824
19698	31824
19939	31824
20009	31824
20683	31824
20930	31824
21767	31824
23702	31824
25813	31824
27924	31824
29347	31824
2828	31824
4939	31824
7050	31824
9161	31824
11271	31824
13382	31824
14714	31824
15217	31824
15464	31824
16213	31824
16687	31824
16940	31824
17016	31824
18259	31824
18403	31824
18600	31824
19174	31824
19348	31824
20774	31824
21215	31824
21786	31824
22541	31824
22743	31824
23043	31824
23759	31824
23875	31824
24163	31824
26104	31824
26222	31824
26628	31824
26801	31824
27236	31824
27584	31824
27981	31824
11489	32208
13600	31824
15710	31824
16735	31824
18743	31824
19112	31824
19271	31824
19531	31824
19589	31824
20188	31824
21804	31824
21974	31824
22441	31824
22608	31824
23128	31824
23379	31824
24039	31824
24931	31824
25634	31824
25888	31824
26320	31824
26421	31824
26934	31824
27104	31824
28068	31824
12839	31952
13505	31824
14263	31824
14798	31824
15306	31824
15794	31824
15992	31824
17502	31824
18071	31824
18207	31824
18388	31824
18695	31824
19099	31824
19511	31824
20059	31824
20942	31824
21268	31824
21255	31824
23151	31824
25262	31824
204	1984
286	1984
339	1984
493	1984
536	1984
651	1984
840	1984
866	1984
1043	1984
1251	1984
745	2112
955	1984
984	1984
1038	1984
1314	1984
1324	1984
1421	1984
926	2112
1355	2112
573	2240
962	2112
1026	2112
1026	2112
1128	2112
1253	2112
1328	2112
1386	2112
1484	2112
347	2496
745	2112
1256	2112
1457	2112
1968	2496
2321	3776
