gc_used_mem_after	gc_total_avail	gc_defnew_end	gc_defnew_all	gc_paus_time	gc_start_occ	gc_end_occ	gc_main_paus_time	
239	1984
410	1984
538	1984
645	1984
741	1984
885	1984
1014	1984
1318	1984
1382	1984
1508	2480
1684	3092
1789	3092
1916	3092
2008	3092
2116	3092
2236	3092
2539	3092
1853	3220
2350	3668
2524	3668
2629	3668
2756	3668
2848	3668
2956	3668
3076	3668
2354	3916
2459	4504
2955	4504
3130	4504
3235	4504
3362	4504
3454	4504
3561	4504
3682	4504
2751	4504
2855	5164
3352	5164
3526	5164
3631	5164
3757	5164
3850	5164
3957	5164
4077	5164
4381	5164
4441	5164
3622	5660
3799	6616
3904	6616
4031	6616
4123	6616
4231	6616
4351	6616
4654	6616
4715	6616
5211	6616
5385	6616
5490	6616
5617	6616
5709	6616
5817	6616
5937	6616
4418	6864
4522	7940
5019	7940
5132	7940
5258	7940
5300	7940
5386	7940
5368	7940
5506	7940
5659	7940
5720	7940
5845	7940
5886	7940
5965	7940
5955	7940
6093	7940
6246	7940
6307	7940
6432	7940
6428	7940
6488	7940
6549	7940
6610	7940
6716	7940
6788	7940
6903	7940
6958	7940
7015	7940
7140	7940
7267	7940
7378	7940
1027	8068
1196	7940
1499	7940
1560	7940
2056	7940
2230	7940
2336	7940
2462	7940
2555	7940
2662	7940
2782	7940
3086	7940
3146	7940
3643	7940
3817	7940
3922	7940
4049	7940
4141	7940
4249	7940
4369	7940
4672	7940
4733	7940
5229	7940
5404	7940
5509	7940
5636	7940
5728	7940
5835	7940
5956	7940
6259	7940
6320	7940
6816	7940
6990	7940
7095	7940
7222	7940
7314	7940
3002	7940
3166	7940
3470	7940
3530	7940
4027	7940
4202	7940
4307	7940
4434	7940
4526	7940
4633	7940
4753	7940
5057	7940
5118	7940
5614	7940
5788	7940
5893	7940
6020	7940
6112	7940
6220	7940
6340	7940
6643	7940
6704	7940
7200	7940
7374	7940
571	8068
697	7940
790	7940
897	7940
1017	7940
1321	7940
1381	7940
1878	7940
2052	7940
2157	7940
2284	7940
2376	7940
2483	7940
2604	7940
2907	7940
2968	7940
3464	7940
3638	7940
3743	7940
3870	7940
3962	7940
4070	7940
4190	7940
4493	7940
4554	7940
5050	7940
5225	7940
5330	7940
5457	7940
5549	7940
5656	7940
5777	7940
6080	7940
6141	7940
6637	7940
6811	7940
6916	7940
7043	7940
7135	7940
7243	7940
7363	7940
3514	8188
3619	7940
4115	7940
4290	7940
4395	7940
4522	7940
4614	7940
4722	7940
4842	7940
5145	7940
5206	7940
5702	7940
5876	7940
5981	7940
6108	7940
6200	7940
6308	7940
6428	7940
6731	7940
6792	7940
7288	7940
465	8068
683	7940
809	7940
902	7940
1009	7940
1129	7940
1433	7940
1493	7940
1990	7940
2164	7940
2269	7940
2396	7940
2488	7940
2596	7940
2716	7940
3019	7940
3080	7940
3576	7940
3750	7940
3856	7940
3982	7940
4075	7940
4182	7940
4302	7940
4606	7940
4666	7940
5163	7940
5337	7940
5442	7940
5569	7940
5661	7940
5769	7940
5889	7940
6192	7940
6253	7940
